,feature,Lasso - oil,f-tests - oil,R^2 - oil,Lasso - gas,f-tests - gas,R^2 - gas
0,"Orig. inplace ass. liquid 
[mill Sm3]",0.010320778392323593,0.26352343062248307,0.010320949302865423,0.060830276135127814,8.016600006698853e-09,0.2412476496690812
1,"Orig. inplace ass. gas 
[bill Sm3]",0.6391175809473528,1.4979887087782871e-28,0.6391176600506931,-0.15193200570668353,0.04650189717888854,0.03235497328066206
2,"Orig. inplace free gas 
[bill Sm3]",0.03737967071254411,0.03214601499806444,0.037379674675149466,0.257284403516292,6.768637836802808e-98,0.9741387895817207
3,"Orig. inplace oil 
[mill Sm3]",0.9526146771958561,5.577851952706074e-82,0.952614679973558,-0.038374996117716886,9.093522267925476e-05,0.11935298014237572
4,"Orig. recoverable NGL 
[mill tonn]",0.27111986065021454,6.677540672969277e-10,0.2711230669096001,0.2493145176283368,4.520187516473411e-10,0.2757137777423899
5,"Orig. recoverable cond. 
[mill Sm3]",0.002972326535961134,0.5489340936241165,0.002976695285287212,-0.02857445418315052,0.00709016900447803,0.05838996265715668
6,"Orig. recoverable oil eq. 
[mill Sm3 o.e]",0.539996143888658,3.868702616571504e-22,0.5399961463646588,0.6384277766244054,1.7664704932761858e-37,0.7427735140177623
7,"Remaining oil 
[mill Sm3]",0.24003851307499768,8.848118533388425e-09,0.24003857972649478,-0.13857552045322774,0.9468230112363153,3.6915805027959436e-05
8,"Remaining gas 
[bill Sm3]",0.05501799066822676,0.00901821428666243,0.05501801090463887,0.30336689046658005,8.259878769349503e-79,0.9465403243178617
9,"Remaining NGL 
[mill tonn]",0.11876265575264022,9.466005102232279e-05,0.11879868381947556,0.29727429598692223,1.5416963748672883e-21,0.5294376241094279
10,"Remaining cond.  
[mill Sm3]",0.0026268780138080094,0.5701193654780208,0.002672602712374128,-0.020026476229303647,0.07425874994749533,0.026095179889644382
11,"Remaining  oil eq. 
[mill Sm3 o.e]",0.1922258685697823,3.9357281346073953e-07,0.1922258830137925,0.44651138874114127,2.3338858990823873e-36,0.7315948010668314
12,Avg Core Photos,0.0016209600017249581,0.6583849069537011,0.0016210054603154056,-0.0075112589500032625,0.8001112699250309,0.0005319020329664914
13,Completion logs,0.009940903521648004,0.26896944229396114,0.010089670685596075,-0.0007753003225465793,0.3352331280927855,0.00767632644629368
14,# of Wells,0.19656807349594518,2.8112721328358523e-07,0.19656811954215536,-0.07143163365715854,0.4357753817238029,0.005027777428210367
15,Exp start year,0.0013547499889513537,0.6860819520975309,0.0013547515279735967,-0.007413401362678762,0.7894449667722261,0.0005915689603454011
16,Exp start month,0.01242009137036526,0.2195631469827177,0.012430023448073535,-0.009629001416548988,0.7368913409082616,0.0009362978894690288
17,Dev start year,0.0009828057589862382,0.7306806640359074,0.0009828072802899879,-0.007412270559941537,0.7910443587223798,0.0005824060607411141
18,Dev start month,0.008830259964931475,0.30099447947377644,0.008838472073779302,-0.02649016439681029,0.2663477410190675,0.01020027951584146
19,Dev end year,0.012976782347261628,0.20963321642379246,0.012976782621080596,-0.001405595593369613,0.37147956776965396,0.006606301950227822
20,Dev end month,0.005442531266889428,0.41707740101747015,0.005450062744850714,-0.0024384991638177755,0.3866116651502013,0.006201143445385027
21,Exp Duration,0.021112098697534942,0.10881904885319563,0.02111210676113129,-0.021715455368854775,0.9259385271086877,7.170482252327748e-05
22,Dev Duration,0.42001332025463883,5.371064485595186e-16,0.4200133253952494,0.012562958686473169,0.0031376944737715883,0.06984993308452336
